Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,3
Environmental Tolerance,Shade Tolerance,4
Environmental Tolerance,Flood Tolerance,2
Environmental Tolerance,Low Fertility Tolerance,3
Environmental Tolerance,Salinity Tolerance,1
Growth,Winter Survival,Expected
Growth,Active Growth Period,Summer and Spring and Fall
Growth,Duration,Annual
Growth,Growing Window,Medium
Growth,Ease of Establishment,4
Cover Crop Type,,Legume
Environmental Tolerance,Heat Tolerance,3
Seeds,Seed Price per Pound,3
Beneficials,Supports Mycorrhizae,3
Growth,Early Spring Growth,4
Growth,Establishes Quickly,3
Roots,Root Architecture,Tap
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,4
Termination Methods,Tillage Termination at Flowering,5
Termination Methods,Freezing Termination at Vegetative,2
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,3
Termination Methods,Chemical Termination at Vegetative,5
Termination Methods,Roller Crimp Tolerance at Flowering,5
Weeds,Volunteer Establishment,1
Weeds,Persistence,1
Disease & Non Weed Pests,Disoucrages Nematodes,1
Disease & Non Weed Pests,Promotes Nematodes,4
Disease & Non Weed Pests,Discourages Pest Insects,1
Disease & Non Weed Pests,Promotes Pest Insects,2
Disease & Non Weed Pests,Suppresses Cash Crop Disease,2
Disease & Non Weed Pests,Promotes Cash Crop Disease,3
