Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,3
Environmental Tolerance,Shade Tolerance,4
Environmental Tolerance,Flood Tolerance,2
Environmental Tolerance,Low Fertility Tolerance,3
Environmental Tolerance,Salinity Tolerance,1
Growth,Winter Survival,Expected
Growth,Active Growth Period,Spring and Summer and Fall
Growth,Duration,Short-lived Perennial
Seeding Methods,Frost Seeding,Yes
Seeding Methods,Frost Seeding Start,2020-02-15
Seeding Methods,Frost Seeding End,2020-03-15
Growth,Growing Window,Long
Growth,Ease of Establishment,4
Cover Crop Type,,Legume
Environmental Tolerance,Heat Tolerance,4
Seeds,Seed Price per Pound,3
Beneficials,Supports Mycorrhizae,4
Growth,Early Spring Growth,4
Growth,Establishes Quickly,3
Roots,Root Architecture,Tap
Roots,Root Depth,Deep
Termination Methods,Tillage Termination at Vegetative,1
Termination Methods,Tillage Termination at Flowering,1
Termination Methods,Freezing Termination at Vegetative,1
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,3
Termination Methods,Chemical Termination at Vegetative,3
Termination Methods,Roller Crimp Tolerance at Flowering,3
Weeds,Volunteer Establishment,5
Weeds,Persistence,5
Disease & Non Weed Pests,Disoucrages Nematodes,1
Disease & Non Weed Pests,Promotes Nematodes,3
Disease & Non Weed Pests,Discourages Pest Insects,1
Disease & Non Weed Pests,Promotes Pest Insects,1
Disease & Non Weed Pests,Suppresses Cash Crop Disease,1
Disease & Non Weed Pests,Promotes Cash Crop Disease,3
