Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,2
Environmental Tolerance,Shade Tolerance,3
Environmental Tolerance,Flood Tolerance,2
Environmental Tolerance,Low Fertility Tolerance,2
Environmental Tolerance,Salinity Tolerance,1
Growth,Winter Survival,Seldom
Growth,Active Growth Period,Fall and Spring
Growth,Duration,Annual
Growth,Growing Window,Short
Growth,Ease of Establishment,4
Cover Crop Type,,Brassica
Environmental Tolerance,Heat Tolerance,3
Seeds,Seed Price per Pound,2
Seeding Methods,Aerial Seeding, Yes
Beneficials,Supports Mycorrhizae,1
Growth,Early Spring Growth,1
Growth,Establishes Quickly,5
Roots,Root Architecture,Tap
Roots,Root Depth,Deep
Termination Methods,Tillage Termination at Vegetative,3
Termination Methods,Tillage Termination at Flowering,3
Termination Methods,Freezing Termination at Vegetative,4
Termination Methods,Chemical Termination at Flowering,3
Termination Methods,Mow Termination at Flowering,5
Termination Methods,Chemical Termination at Vegetative,3
Termination Methods,Roller Crimp Tolerance at Flowering,1
Weeds,Volunteer Establishment,2
Weeds,Persistence,2
Disease & Non Weed Pests,Disoucrages Nematodes,3
Disease & Non Weed Pests,Promotes Nematodes,3
Disease & Non Weed Pests,Discourages Pest Insects,3
Disease & Non Weed Pests,Promotes Pest Insects,3
Disease & Non Weed Pests,Suppresses Cash Crop Disease,3
Disease & Non Weed Pests,Promotes Cash Crop Disease,4
