Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,2
Environmental Tolerance,Shade Tolerance,4
Environmental Tolerance,Flood Tolerance,4
Environmental Tolerance,Low Fertility Tolerance,2
Environmental Tolerance,Salinity Tolerance,2
Growth,Winter Survival,Expected
Growth,Active Growth Period,Winter and Spring and Summer and Fall
Growth,Duration,Annual
Growth,Growing Window,Short
Growth,Ease of Establishment,3
Cover Crop Type,,Grass
Environmental Tolerance,Heat Tolerance,3
Seeds,Seed Price per Pound,2
Seeding Methods,Aerial Seeding, Yes
Beneficials,Supports Mycorrhizae,4
Growth,Early Spring Growth,3
Growth,Establishes Quickly,3
Roots,Root Architecture,Fibrous
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,1
Termination Methods,Tillage Termination at Flowering,1
Termination Methods,Freezing Termination at Vegetative,2
Termination Methods,Chemical Termination at Flowering,3
Termination Methods,Mow Termination at Flowering,1
Termination Methods,Chemical Termination at Vegetative,3
Termination Methods,Roller Crimp Tolerance at Flowering,1
Weeds,Volunteer Establishment,5
Weeds,Persistence,1
Disease & Non Weed Pests,Disoucrages Nematodes,4
Disease & Non Weed Pests,Promotes Nematodes,3
Disease & Non Weed Pests,Discourages Pest Insects,4
Disease & Non Weed Pests,Promotes Pest Insects,3
Disease & Non Weed Pests,Suppresses Cash Crop Disease,2
Disease & Non Weed Pests,Promotes Cash Crop Disease,3
