Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,3
Environmental Tolerance,Shade Tolerance,2
Environmental Tolerance,Flood Tolerance,2
Environmental Tolerance,Low Fertility Tolerance,4
Environmental Tolerance,Salinity Tolerance,2
Growth,Winter Survival,Never
Growth,Active Growth Period,Summer
Growth,Duration,Annual
Growth,Growing Window,Very Short
Growth,Ease of Establishment,4
Cover Crop Type,,Broadleaf
Environmental Tolerance,Heat Tolerance,4
Seeds,Seed Price per Pound,2
Beneficials,Supports Mycorrhizae,4
Growth,Establishes Quickly,5
Roots,Root Architecture,Fibrous
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,5
Termination Methods,Tillage Termination at Flowering,5
Termination Methods,Freezing Termination at Vegetative,5
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,5
Termination Methods,Chemical Termination at Vegetative,5
Termination Methods,Roller Crimp Tolerance at Flowering,5
Weeds,Volunteer Establishment,5
Weeds,Persistence,1
Disease & Non Weed Pests,Disoucrages Nematodes,1
Disease & Non Weed Pests,Promotes Nematodes,3
Disease & Non Weed Pests,Discourages Pest Insects,1
Disease & Non Weed Pests,Promotes Pest Insects,3
Disease & Non Weed Pests,Suppresses Cash Crop Disease,2
Disease & Non Weed Pests,Promotes Cash Crop Disease,4
