Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,3
Environmental Tolerance,Shade Tolerance,3
Environmental Tolerance,Flood Tolerance,2
Environmental Tolerance,Low Fertility Tolerance,3
Environmental Tolerance,Salinity Tolerance,2
Growth,Winter Survival,Seldom
Growth,Active Growth Period,Fall and Spring and Summer
Growth,Duration,Annual
Growth,Growing Window,Short
Growth,Ease of Establishment,3
Cover Crop Type,,Brassica
Environmental Tolerance,Heat Tolerance,3
Seeds,Seed Price per Pound,2
Beneficials,Supports Mycorrhizae,1
Growth,Early Spring Growth,1
Growth,Establishes Quickly,4
Roots,Root Architecture,Tap
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,4
Termination Methods,Tillage Termination at Flowering,4
Termination Methods,Freezing Termination at Vegetative,3
Termination Methods,Chemical Termination at Flowering,3
Termination Methods,Mow Termination at Flowering,5
Termination Methods,Chemical Termination at Vegetative,3
Termination Methods,Roller Crimp Tolerance at Flowering,3
Weeds,Volunteer Establishment,5
Weeds,Persistence,1
Disease & Non Weed Pests,Disoucrages Nematodes,3
Disease & Non Weed Pests,Promotes Nematodes,2
Disease & Non Weed Pests,Discourages Pest Insects,3
Disease & Non Weed Pests,Promotes Pest Insects,2
Disease & Non Weed Pests,Suppresses Cash Crop Disease,2
Disease & Non Weed Pests,Promotes Cash Crop Disease,4
