Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,3
Environmental Tolerance,Shade Tolerance,2
Environmental Tolerance,Flood Tolerance,3
Environmental Tolerance,Low Fertility Tolerance,3
Environmental Tolerance,Salinity Tolerance,2
Growth,Winter Survival,Seldom
Growth,Active Growth Period,Fall and Spring
Growth,Duration,Annual
Growth,Growing Window,Short
Growth,Ease of Establishment,3
Cover Crop Type,,Grass
Environmental Tolerance,Heat Tolerance,4
Seeds,Seed Price per Pound,1
Seeding Methods,Aerial Seeding, Yes
Beneficials,Supports Mycorrhizae,5
Growth,Early Spring Growth,3
Growth,Establishes Quickly,4
Roots,Root Architecture,Fibrous
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,1
Termination Methods,Tillage Termination at Flowering,1
Termination Methods,Freezing Termination at Vegetative,4
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,5
Termination Methods,Chemical Termination at Vegetative,5
Termination Methods,Roller Crimp Tolerance at Flowering,5
Weeds,Volunteer Establishment,5
Weeds,Persistence,1
Disease & Non Weed Pests,Disoucrages Nematodes,1
Disease & Non Weed Pests,Promotes Nematodes,2
Disease & Non Weed Pests,Discourages Pest Insects,1
Disease & Non Weed Pests,Promotes Pest Insects,2
Disease & Non Weed Pests,Suppresses Cash Crop Disease,2
Disease & Non Weed Pests,Promotes Cash Crop Disease,3
