Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,5
Environmental Tolerance,Shade Tolerance,1
Environmental Tolerance,Flood Tolerance,3
Environmental Tolerance,Low Fertility Tolerance,4
Environmental Tolerance,Salinity Tolerance,2
Growth,Winter Survival,Never
Growth,Active Growth Period,Summer
Growth,Duration,Annual
Growth,Growing Window,Short
Growth,Ease of Establishment,3
Cover Crop Type,,Grass
Environmental Tolerance,Heat Tolerance,5
Seeds,Seed Price per Pound,1
Beneficials,Supports Mycorrhizae,4
Growth,Establishes Quickly,4
Roots,Root Architecture,Fibrous
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,1
Termination Methods,Tillage Termination at Flowering,1
Termination Methods,Freezing Termination at Vegetative,5
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,5
Termination Methods,Chemical Termination at Vegetative,5
Termination Methods,Roller Crimp Tolerance at Flowering,1
Weeds,Persistence,2
Disease & Non Weed Pests,Disoucrages Nematodes,3
Disease & Non Weed Pests,Promotes Nematodes,3
Disease & Non Weed Pests,Discourages Pest Insects,3
Disease & Non Weed Pests,Promotes Pest Insects,3
Disease & Non Weed Pests,Suppresses Cash Crop Disease,3
Disease & Non Weed Pests,Promotes Cash Crop Disease,4
