Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,3
Environmental Tolerance,Shade Tolerance,3
Environmental Tolerance,Flood Tolerance,2
Environmental Tolerance,Low Fertility Tolerance,3
Environmental Tolerance,Salinity Tolerance,2
Growth,Winter Survival,Expected
Growth,Active Growth Period,Winter and Spring
Growth,Duration,Annual
Growth,Growing Window,Long
Growth,Ease of Establishment,3
Cover Crop Type,,Grass
Environmental Tolerance,Heat Tolerance,3
Seeds,Seed Price per Pound,2
Seeding Methods,Aerial Seeding, Yes
Beneficials,Supports Mycorrhizae,3
Growth,Early Spring Growth,4
Growth,Establishes Quickly,4
Roots,Root Architecture,Fibrous
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,1
Termination Methods,Tillage Termination at Flowering,1
Termination Methods,Freezing Termination at Vegetative,1
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,5
Termination Methods,Chemical Termination at Vegetative,5
Termination Methods,Roller Crimp Tolerance at Flowering,5
Weeds,Volunteer Establishment,5
Weeds,Persistence,1
Disease & Non Weed Pests,Disoucrages Nematodes,1
Disease & Non Weed Pests,Promotes Nematodes,1
Disease & Non Weed Pests,Discourages Pest Insects,1
Disease & Non Weed Pests,Promotes Pest Insects,1
Disease & Non Weed Pests,Suppresses Cash Crop Disease,1
Disease & Non Weed Pests,Promotes Cash Crop Disease,1
